AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2016;;
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2017;;
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2018;;
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;ARR:07L - DEP:07R;0,0618752974773917
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;ARR:19 - DEP:25R;0,0304616849119467
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;ARR:25L - ARR:25R - DEP:25R;0,575043630017452
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;ARR:25L - DEP:25R;0,207440901158179
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2019;ARR:01 - DEP:07R;0,0653656988735523
EBBR;EBBR;BRU;Brussels;Belgium;Brussels (EBBR);Brussels (BRU);2020;;
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2016;;
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;;
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;;
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2019;ARR:06 - DEP:06;0,132217027291508
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2019;ARR:24 - DEP:24;0,866315102750897
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2020;;
EDDB;EDDB;SXF;Berlin - Schoenefeld;Germany;Berlin - Schoenefeld (EDDB);Berlin - Schoenefeld (SXF);2016;;
EDDB;EDDB;SXF;Berlin - Schoenefeld;Germany;Berlin - Schoenefeld (EDDB);Berlin - Schoenefeld (SXF);2017;;
EDDB;EDDB;SXF;Berlin - Schoenefeld;Germany;Berlin - Schoenefeld (EDDB);Berlin - Schoenefeld (SXF);2018;;
EDDB;EDDB;SXF;Berlin - Schoenefeld;Germany;Berlin - Schoenefeld (EDDB);Berlin - Schoenefeld (SXF);2019;ARR:07L - DEP:07L;0,290619969757573
EDDB;EDDB;SXF;Berlin - Schoenefeld;Germany;Berlin - Schoenefeld (EDDB);Berlin - Schoenefeld (SXF);2019;ARR:25R - DEP:25R;0,709282474025657
EDDB;EDDB;SXF;Berlin - Schoenefeld;Germany;Berlin - Schoenefeld (EDDB);Berlin - Schoenefeld (SXF);2020;;
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2016;;
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2017;;
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2018;;
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2019;ARR:22 - DEP:22;0,780122736117348
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2019;ARR:04 - DEP:04;0,216284987277354
EDDC;EDDC;DRS;Dresden;Germany;Dresden (EDDC);Dresden (DRS);2020;;
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2016;;
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2017;;
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2018;;
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2019;ARR:10 - DEP:10;0,267441860465116
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2019;ARR:28 - DEP:28;0,727390180878553
EDDE;EDDE;ERF;Erfurt;Germany;Erfurt (EDDE);Erfurt (ERF);2020;;
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2016;;
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2017;;
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2018;;
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2019;ARR:25L - ARR:25R - DEP:18 - DEP:25C;0,224236296670759
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2019;ARR:07L - ARR:07R - DEP:07C - DEP:18;0,396981295587492
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2019;ARR:25C - ARR:25L - ARR:25R - DEP:18 - DEP:25C;0,352639560915722
EDDF;EDDF;FRA;Frankfurt;Germany;Frankfurt (EDDF);Frankfurt (FRA);2020;;
EDDG;EDDG;FMO;Muenster-Osnabrueck;Germany;Muenster-Osnabrueck (EDDG);Muenster-Osnabrueck (FMO);2016;;
EDDG;EDDG;FMO;Muenster-Osnabrueck;Germany;Muenster-Osnabrueck (EDDG);Muenster-Osnabrueck (FMO);2017;;
EDDG;EDDG;FMO;Muenster-Osnabrueck;Germany;Muenster-Osnabrueck (EDDG);Muenster-Osnabrueck (FMO);2018;;
EDDG;EDDG;FMO;Muenster-Osnabrueck;Germany;Muenster-Osnabrueck (EDDG);Muenster-Osnabrueck (FMO);2019;ARR:07 - DEP:07;0,295735129068462
EDDG;EDDG;FMO;Muenster-Osnabrueck;Germany;Muenster-Osnabrueck (EDDG);Muenster-Osnabrueck (FMO);2019;ARR:25 - DEP:25;0,70381593714927
EDDG;EDDG;FMO;Muenster-Osnabrueck;Germany;Muenster-Osnabrueck (EDDG);Muenster-Osnabrueck (FMO);2020;;
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2016;;
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2017;;
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2018;;
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2019;ARR:33 - DEP:33;0,0518099068585944
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2019;ARR:05 - DEP:33;0,101555884843353
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2019;ARR:23 - DEP:23;0,125211685012701
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2019;ARR:15 - DEP:23;0,191627857747671
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2019;ARR:23 - DEP:33;0,458456816257409
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2019;ARR:15 - DEP:05;0,0455651989839119
EDDH;EDDH;HAM;Hamburg;Germany;Hamburg (EDDH);Hamburg (HAM);2020;;
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2016;;
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2017;;
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2018;;
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2019;ARR:14L - DEP:14L;0,40956228956229
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2019;ARR:32R - DEP:32R;0,384511784511785
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2019;ARR:14L - ARR:24 - DEP:14L;0,121212121212121
EDDK;EDDK;CGN;Cologne-Bonn;Germany;Cologne-Bonn (EDDK);Cologne-Bonn (CGN);2020;;
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2016;;
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2017;;
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2018;;
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2019;ARR:23L - DEP:23L;0,478328323475225
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2019;ARR:23R - DEP:23L;0,24687287889072
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2019;ARR:05R - DEP:05R;0,0887229710074663
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2019;ARR:05L - DEP:05R;0,0482885678270144
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2019;ARR:05R - DEP:05R - DEP:23L;0,0458644429361001
EDDL;EDDL;DUS;Dusseldorf;Germany;Dusseldorf (EDDL);Dusseldorf (DUS);2020;;
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2016;;
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2017;;
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2018;;
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2019;ARR:08L - ARR:08R - DEP:08L - DEP:08R;0,37075587220305
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2019;ARR:26L - ARR:26R - DEP:26L - DEP:26R;0,614994990537682
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2020;;
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2016;;
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2017;;
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2018;;
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2019;ARR:28 - DEP:28;0,648200312989045
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2019;ARR:10 - DEP:10;0,349671361502347
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2020;;
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2016;;
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2017;;
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2018;;
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2019;ARR:26R - DEP:26R;0,315864358548731
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2019;ARR:26L - DEP:26L;0,257054778278397
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2019;ARR:08R - DEP:08R;0,209627697415224
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2019;ARR:08L - DEP:08R;0,0642636945695992
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2019;ARR:26L - DEP:26R;0,0407872895423287
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2019;ARR:08L - DEP:08L;0,0336732274128527
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2020;;
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2016;;
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2017;;
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2018;;
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2019;ARR:27 - DEP:27;0,729656419529837
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2019;ARR:09 - DEP:09;0,264014466546112
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2020;;
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2016;;
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2017;;
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2018;;
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2019;ARR:07 - DEP:07;0,37389227911913
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2019;ARR:25 - DEP:25;0,622923852480764
EDDS;EDDS;STR;Stuttgart;Germany;Stuttgart (EDDS);Stuttgart (STR);2020;;
EDDT;EDDT;TXL;Berlin - Tegel;Germany;Berlin - Tegel (EDDT);Berlin - Tegel (TXL);2016;;
EDDT;EDDT;TXL;Berlin - Tegel;Germany;Berlin - Tegel (EDDT);Berlin - Tegel (TXL);2017;;
EDDT;EDDT;TXL;Berlin - Tegel;Germany;Berlin - Tegel (EDDT);Berlin - Tegel (TXL);2018;;
EDDT;EDDT;TXL;Berlin - Tegel;Germany;Berlin - Tegel (EDDT);Berlin - Tegel (TXL);2019;ARR:26R - DEP:26L;0,709831254585473
EDDT;EDDT;TXL;Berlin - Tegel;Germany;Berlin - Tegel (EDDT);Berlin - Tegel (TXL);2019;ARR:08L - DEP:08R;0,265651748593788
EDDT;EDDT;TXL;Berlin - Tegel;Germany;Berlin - Tegel (EDDT);Berlin - Tegel (TXL);2020;;
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2016;;
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2017;;
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2018;;
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:27R - DEP:27R;0,390423162583519
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:09L - DEP:09L;0,0325167037861915
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:27L - DEP:27L;0,302895322939866
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:09R - DEP:09R;0,0859688195991091
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2019;ARR:09L - DEP:09R;0,0752783964365256
EDDV;EDDV;HAJ;Hanover;Germany;Hanover (EDDV);Hanover (HAJ);2020;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2016;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2017;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2018;;
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2019;ARR:09 - DEP:09;0,329640918890789
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2019;ARR:27 - DEP:27;0,669764329789607
EDDW;EDDW;BRE;Bremen;Germany;Bremen (EDDW);Bremen (BRE);2020;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2016;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2017;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2018;;
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2019;ARR:26 - DEP:26;0,946934845404943
EETN;EETN;TLL;Tallinn;Estonia;Tallinn (EETN);Tallinn (TLL);2020;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2016;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2017;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2018;;
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:15 - DEP:22L;0,0788860103626943
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:22L - ARR:22R - DEP:22R;0,0484455958549223
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:15 - DEP:22R;0,157124352331606
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:04L - DEP:04R;0,235621761658031
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:22L - DEP:22R;0,251683937823834
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2019;ARR:04L - ARR:04R - DEP:04R;0,0569948186528497
EFHK;EFHK;HEL;Helsinki - Vantaa;Finland;Helsinki - Vantaa (EFHK);Helsinki - Vantaa (HEL);2020;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2016;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2017;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2018;;
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2019;ARR:15 - DEP:33;0,0328902018709995
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2019;ARR:33 - DEP:33;0,488823239783358
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2019;ARR:15 - DEP:15;0,457557853274249
EGBB;EGBB;BHX;Birmingham;United Kingdom;Birmingham (EGBB);Birmingham (BHX);2020;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2016;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2017;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2018;;
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:05L - DEP:05L;0,0572013357750727
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:05R - DEP:05L;0,128406765054401
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:23R - DEP:23R;0,294678444468383
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2019;ARR:23R - DEP:23L;0,502100614025638
EGCC;EGCC;MAN;Manchester;United Kingdom;Manchester (EGCC);Manchester (MAN);2020;;
EGGD;EGGD;BRS;Bristol;United Kingdom;Bristol (EGGD);Bristol (BRS);2016;;
